step,train_loss,val_loss,train_bpc,val_bpc
0,5.560780191421509,5.561610865592956,8.022510005637391,8.023708415145133
200,2.4659188389778137,2.4417210817337036,3.5575688802279624,3.5226588958512495
400,2.425255262851715,2.4103085517883303,3.498903740606029,3.4773401946772835
600,2.3178049087524415,2.298948514461517,3.343885647605244,3.3166816210726804
800,2.1742195963859556,2.151864802837372,3.1367358295096217,3.1044846797169834
1000,2.071790361404419,2.054022121429443,2.9889616801597083,2.963327528462486
1200,2.0000797688961027,1.9822688281536103,2.8855051639687517,2.8598094080859906
1400,1.9333604335784913,1.9244375288486482,2.7892495097746255,2.776376479370556
1600,1.8938400983810424,1.8716490626335145,2.7322337181709964,2.700218820945848
1800,1.8576613008975982,1.8303269565105438,2.6800387464563054,2.640603623363151
2000,1.8271800220012664,1.802170729637146,2.6360635565526143,2.5999827744827555
2200,1.7847625732421875,1.7716853439807891,2.574868113580729,2.556001659776742
2400,1.7575551331043244,1.735224175453186,2.535616074618551,2.5033993127569523
2600,1.73604474067688,1.7135072827339173,2.504583138135901,2.4720684593273456
2800,1.7206025660037993,1.686649352312088,2.4823047893145067,2.4333206562992316
3000,1.7042726814746856,1.6688865005970002,2.458745745886065,2.407694278217828
3200,1.667869257926941,1.6637042045593262,2.4062267072623533,2.4002178054238574
3400,1.655471956729889,1.6385789215564728,2.3883411823049596,2.3639696842347093
3600,1.6374451816082,1.630194652080536,2.3623340432336786,2.3518737402402983
3800,1.6343579292297363,1.6139672875404358,2.357880079537296,2.3284626018915984
4000,1.6222995579242707,1.6023083090782166,2.340483527053703,2.311642251482324
4200,1.5972226083278656,1.5864726543426513,2.304305136230347,2.288796230926094
4400,1.5959328889846802,1.5724329113960267,2.302444464529795,2.268541163401643
4600,1.5894688665866852,1.554522877931595,2.293118851472012,2.2427024469403514
4800,1.578287124633789,1.554165780544281,2.276987007808069,2.242187264310559
5000,1.5573732554912567,1.551510602235794,2.246814672510337,2.238356651732229
5200,1.5615255892276765,1.5355085134506226,2.2528052237999856,2.215270517597997
5400,1.5448287367820739,1.5484923064708709,2.22871675757826,2.2340021714002383
5600,1.5394868433475495,1.5173292815685273,2.2210100344113144,2.1890434299145283
5800,1.528418630361557,1.5263149797916413,2.2050419784249202,2.2020070521799395
6000,1.522888219356537,1.507999712228775,2.1970632818938998,2.1755837064944377
6200,1.5119541227817535,1.5029817759990691,2.1812887149888587,2.168344354780344
6400,1.5073704719543457,1.5036159873008728,2.1746759046709907,2.1692593282803316
6600,1.5220040023326873,1.4982214510440826,2.1957876263785225,2.161476657574765
6800,1.5051655054092408,1.4945791125297547,2.171494810371042,2.156221873862905
7000,1.5000102519989014,1.4838345229625702,2.1640573518414192,2.1407207077779407
7200,1.486875295639038,1.4837221503257751,2.145107615438752,2.1405585883321048
7400,1.4760589897632599,1.476356041431427,2.1295029845910283,2.1299315395595806
7600,1.4761004507541657,1.4794996976852417,2.1295628001569984,2.134466876847219
7800,1.4748593747615815,1.4662876009941102,2.127772305977131,2.115405850471178
8000,1.464815866947174,1.4710654258728026,2.1132825870601555,2.1222987947299035
8200,1.4749452650547028,1.4562090277671813,2.1278962194770776,2.100865542857451
8400,1.4545148313045502,1.4681803405284881,2.0984213340225217,2.1181364964111196
8600,1.4520410299301147,1.458428394794464,2.0948523930474794,2.1040674126616246
8800,1.4517089247703552,1.4563211619853973,2.094373266580441,2.1010273183379855
9000,1.4441019237041473,1.4455445766448975,2.0833986838661853,2.08547999210953
9200,1.4347007632255555,1.446414875984192,2.0698356762651198,2.0867355686504188
9400,1.4459193050861359,1.44242023229599,2.0860206109733843,2.0809725160113315
9600,1.44430610537529,1.4387338995933532,2.0836932557505836,2.0756542621021703
9800,1.421914768218994,1.4335716307163238,2.0513893846763227,2.0682066823935448
10000,1.426973932981491,1.4256493151187897,2.058688216590217,2.056777196968625
10200,1.433030903339386,1.422689175605774,2.0674265776883636,2.052506618372858
10400,1.4204240798950196,1.4317112684249877,2.0492387760238135,2.0655227469415776
10600,1.4290288746356965,1.4368417263031006,2.0616528707240556,2.0729244330798204
10800,1.4224034070968627,1.4233270525932311,2.0520943415622095,2.0534268803393596
11000,1.4115072965621949,1.4285364687442779,2.036374576928866,2.0609424791864015
11200,1.4121118903160095,1.4185152649879456,2.037246821339247,2.046484938223403
11400,1.4104428589344025,1.4188903391361236,2.034838918041914,2.047026055836945
11600,1.4206908822059632,1.4189658284187316,2.04962369039471,2.047134963850604
11800,1.4082332670688629,1.4196048200130462,2.0316511508151116,2.0480568338548912
12000,1.4065009236335755,1.4121586620807647,2.029151907531906,2.0373142987323125
12200,1.4070178806781768,1.4072742760181427,2.029897718896505,2.0302676191819806
12400,1.3970891416072846,1.4136004388332366,2.0155735762766485,2.039394342903173
12600,1.4031863689422608,1.4162107944488525,2.024370015915991,2.0431602900047787
12800,1.3943747639656068,1.406594729423523,2.0116575571139,2.02928724067987
13000,1.3824648261070251,1.413359487056732,1.9944751488280283,2.0390467229701166
13200,1.3895808935165406,1.4120429158210754,2.004741463990368,2.0371473121774577
13400,1.3888854444026948,1.3974455296993256,2.0037381430026318,2.0160877356096676
13600,1.3849326193332672,1.3996974170207976,1.9980354218774672,2.0193365222809962
13800,1.3840191185474395,1.3914186358451843,1.9967175188239055,2.007392765734334
14000,1.382604867219925,1.4038044393062592,1.9946771854471295,2.025261702965052
14200,1.3798904120922089,1.393249326944351,1.990761054495658,2.0100338947045016
14400,1.3828969120979309,1.3889152944087981,1.9950985171443456,2.003781207458408
14600,1.38334019780159,1.3954188823699951,1.9957380432307117,2.013163901558012
14800,1.3853991091251374,1.3968117356300354,1.9987084243868236,2.015173364048958
15000,1.3784058749675752,1.3999040007591248,1.9886193201479332,2.019634559615809
15200,1.3727724492549895,1.390548014640808,1.9804920048091696,2.0061367248402875
15400,1.363424813747406,1.3875768601894378,1.9670062174183414,2.0018502550475805
15600,1.3764895975589753,1.3853931963443755,1.9858547162335787,1.9986998940473406
15800,1.3565414488315581,1.3805123746395112,1.9570756209896185,1.9916583567782695
16000,1.3612975418567657,1.3906142354011535,1.963937212811092,2.006232261202842
16200,1.368027424812317,1.38453049659729,1.973646381576829,1.9974552814004443
16400,1.3594594299793243,1.38750422000885,1.9612853779209083,2.0017454574192772
16600,1.3633267998695373,1.3841792583465575,1.9668648132828017,1.996948551717942
16800,1.3581409573554992,1.3776213645935058,1.959383224004968,1.9874875109217376
17000,1.3554001033306122,1.3808190166950225,1.955429007495463,1.9921007477510837
17200,1.356819999217987,1.3820793449878692,1.9574774842507572,1.9939190171290657
17400,1.347900205850601,1.3829311311244965,1.9446089425938753,1.995147884764276
17600,1.3457533836364746,1.3933165669441223,1.9415117328318845,2.0101309015187208
17800,1.3492047190666199,1.3833159923553466,1.9464909573413995,1.9957031221534538
18000,1.3471347510814666,1.3812919557094574,1.94350462479442,1.992783054521852
18200,1.3383022665977478,1.3720443964004516,1.9307620432310302,1.9794416465664226
18400,1.3429704427719116,1.378512191772461,1.9374967978474924,1.9887727028751052
18600,1.3424119353294373,1.3752553939819336,1.936691041929935,1.9840741368535333
18800,1.33962180018425,1.3723704516887665,1.9326657277925632,1.9799120449139302
19000,1.3367172360420227,1.3817225098609924,1.9284753275086282,1.9934042128611056
19200,1.336824119091034,1.3687978982925415,1.9286295271533918,1.9747579398458854
19400,1.3420198440551758,1.366264432668686,1.9361253737929822,1.9711029215540863
19600,1.3363833546638488,1.3766241312026977,1.9279936385000915,1.9860488072542097
19800,1.3358811855316162,1.3715459167957307,1.927269161583332,1.9787224925127076
20000,1.3381555914878844,1.3679476499557495,1.9305504357774086,1.9735312907868714
20200,1.3399560451507568,1.3703490495681763,1.933147941348185,1.9769957780989122
20400,1.3284622073173522,1.3631425201892853,1.91656583850515,1.9665989539019657
20600,1.3388625621795653,1.3649869441986084,1.9315703788883505,1.9692598952735128
20800,1.3321981132030487,1.3668322443962098,1.9219556113996723,1.9719221007175436
21000,1.3369126439094543,1.3650998592376709,1.9287572414699223,1.96942279724041
21200,1.3349235594272613,1.3696233451366424,1.9258875991515534,1.9759488079143872
21400,1.3241121113300323,1.365458959341049,1.9102899765968526,1.9699408691787363
21600,1.324955278635025,1.3647299647331237,1.9115064098864052,1.9688891522730476
21800,1.3224221110343932,1.3673563361167909,1.9078518215512332,1.9726782052437968
22000,1.3265996098518371,1.3684208691120148,1.9138786783784791,1.974214001716869
22200,1.3238353073596953,1.3587637901306153,1.9098906328815493,1.960281781760931
22400,1.3240796864032744,1.3596025645732879,1.910243197315818,1.9614918774897991
22600,1.3174636483192443,1.3649033546447753,1.9006982719816552,1.9691393010387275
22800,1.3218551456928254,1.3555394411087036,1.9070338634645974,1.9556300294169238
23000,1.3066742837429046,1.346593862771988,1.8851325092130269,1.9427242879126605
23200,1.3115416705608367,1.370825570821762,1.8921546640373457,1.9776832529483386
23400,1.3034085571765899,1.3620258569717407,1.8804210616909052,1.964987949415671
23600,1.315978717803955,1.3562666833400727,1.8985559700911827,1.9566792181776451
23800,1.3064811527729034,1.3597148776054382,1.884853880120364,1.9616539109443096
24000,1.3082806408405303,1.35702788233757,1.8874499926316681,1.9577773961964642
24200,1.3076161205768586,1.3582456886768342,1.8864912925426989,1.9595343193628836
